server_name,season,discord_id,username,combined_rank,combined_mmr,combined_games_played_pct,combined_wins,combined_losses,combined_win_pct,crewmate_rank,crewmate_mmr,crewmate_games_played_pct,crewmate_wins,crewmate_losses,crewmate_win_pct,impostor_rank,impostor_mmr,impostor_games_played_pct,impostor_wins,impostor_losses,impostor_win_pct
5UP Community,1,675389164723634196,jujuthenewkid,47,940,100,21,18,54,52,987,62,18,6,75,51,893,38,3,12,20
5UP Community,1,961443770111492127,kaii #ArabforRankedMod,261,702,100,1,3,25,255,705,100,1,3,25,151,700,0,0,0,0
5UP Community,1,383095629166936068,kate,,,,,,,,,,,,,,,,,,
5UP Community,1,724446793341075466,kirby,114,836,100,9,2,82,49,990,82,9,0,100,264,683,18,0,2,0
5UP Community,1,608309722499776525,kleq,9,1010,100,90,38,70,7,1099,80,83,20,81,39,920,20,7,18,28
5UP Community,1,716878540691341357,Klyde,257,713,100,7,12,37,244,746,89,7,10,41,277,679,11,0,2,0
5UP Community,1,261948313790709762,koarly,31,971,100,25,7,78,5,1124,88,24,4,86,101,818,13,1,3,25
5UP Community,1,683418301052747807,krow,119,834,100,5,2,71,175,831,86,4,2,67,76,837,14,1,0,100
5UP Community,1,825381522809815072,lexis02,305,634,100,15,4,79,250,723,89,14,3,82,305,545,11,1,1,50
5UP Community,1,1000430819317403719,lilly,113,836,100,16,7,70,37,1006,87,16,4,80,290,666,13,0,3,0
5UP Community,1,995877774269104208,Lil King,302,660,100,1,7,13,303,634,88,1,6,14,251,687,13,0,1,0
5UP Community,1,184411083262394368,Lovely Death,184,779,100,8,12,40,217,778,70,7,7,50,132,780,30,1,5,17
5UP Community,1,426173379180232705,lukexbl,95,866,100,9,9,50,99,928,67,8,4,67,122,804,33,1,5,17
5UP Community,1,944182570629861466,Mac.,94,868,100,8,11,42,173,832,58,6,5,55,47,905,42,2,6,25
5UP Community,1,338725425050288129,madu (mew/mews),142,810,100,4,3,57,216,783,86,3,3,50,74,838,14,1,0,100
5UP Community,1,754200297018097745,marv,115,835,100,33,26,56,97,930,80,32,15,68,138,741,20,1,11,8
5UP Community,1,531956906366074880,Marzay (Ranked Ace) ⥑Ðior⥏,82,882,100,87,60,59,290,679,82,77,44,64,2,1084,18,10,16,38
5UP Community,1,263496854849847296,matt0833,153,801,100,10,11,48,207,804,81,9,8,53,125,798,19,1,3,25
5UP Community,1,909891935345463377,Matty,19,1000,100,154,52,75,21,1057,81,137,30,82,30,942,19,17,22,44
5UP Community,1,418223207548452875,Mav,139,814,100,8,6,57,98,928,79,8,3,73,208,699,21,0,3,0
5UP Community,1,494498050623143946,mega,163,796,100,5,2,71,118,908,71,5,0,100,259,684,29,0,2,0
5UP Community,1,676981676357845012,Michael Shoemocker,89,872,100,19,11,63,77,953,80,18,6,75,126,790,20,1,5,17
5UP Community,1,204912856079138816,MiliPika,134,818,100,29,28,51,140,879,77,28,16,64,137,756,23,1,12,8
5UP Community,1,981271121322184835,Milkk,65,907,100,23,18,56,79,952,73,21,9,70,63,861,27,2,9,18
5UP Community,1,231531660695437312,Mish,185,778,100,5,4,56,143,875,78,5,2,71,270,682,22,0,2,0
5UP Community,1,834071279971336253,mollsballs,84,878,100,7,2,78,93,935,67,6,0,100,98,821,33,1,2,33
5UP Community,1,108334202969161728,Mommys Boy,68,903,100,14,10,58,136,882,71,12,5,71,37,923,29,2,5,29
5UP Community,1,153532055127326720,momo ✧,74,891,100,11,5,69,69,959,75,10,2,83,92,823,25,1,3,25
5UP Community,1,466033623682908171,Monstr,306,460,100,63,31,67,306,561,81,59,17,78,309,360,19,4,14,22
5UP Community,1,107649203991261184,motr,77,890,100,12,8,60,65,967,65,11,2,85,111,812,35,1,6,14
5UP Community,1,522383349017477141,Mr.guildmage [𝙛𝙭],81,884,100,19,12,61,68,959,81,18,7,72,115,809,19,1,5,17
5UP Community,1,423102654080614401,nateoraderade,150,802,100,6,1,86,122,904,100,6,1,86,151,700,0,0,0,0
5UP Community,1,595656785122033666,nerdy_101,76,890,100,24,5,83,8,1098,93,24,3,89,268,682,7,0,2,0
5UP Community,1,841407103201312768,NickatB,42,951,100,49,34,59,159,857,76,42,21,67,5,1044,24,7,13,35
5UP Community,1,312675075323199490,Night,180,782,100,12,9,57,146,872,95,12,8,60,231,692,5,0,1,0
5UP Community,1,983667894653186160,Nope,63,908,100,37,23,62,107,922,90,35,19,65,50,895,10,2,4,33
5UP Community,1,108334202969161728,nyainth,55,919,100,45,35,56,22,1052,70,43,13,77,129,786,30,2,22,8
